# v0.24 first NEW_FD13_EXIT from fd14 plateau boundary search
# local_depth: 81
# reveal: c11
# origin: [2, 0, 1]
# symmetry: 535053310100000000013b00022d1c00060d0c2621393c00071413121d071d1c000812272a0524333231000a3d3c3b3a393837260827000b1716352b14092534132201040d18360a2a280706050403020911033d2c1b040f3a2c360835042302310b0d3229181716253433051215191b11282d0c2b1a29010a0b1a193837061524232221

move 3 6 1
move 6 8 2
move 1 6 1
move 6 8 2
move 8 4 5
move 3 2 1
move 3 7 1
move 9 3 1
move 9 3 1
move 10 3 1
move 3 10 4
move 8 1 1
move 9 2 1
move 9 3 1
move 9 1 1
move 6 1 1
move 10 6 5
move 6 5 6
move 10 3 1
move 5 9 7
move 5 3 1
move 5 3 1
move 6 5 1
move 5 6 2
move 5 9 1
move 8 5 1
move 4 7 5
move 3 8 1
move 10 3 1
move 10 5 1
move 4 10 1
move 4 10 1
move 4 2 1
move 5 3 2
move 4 5 1
move 4 8 1
move 4 1 1
move 8 4 3
deal
deal
deal
deal
deal
move 3 1 1
move 5 2 1
move 1 4 1
move 5 10 1
move 1 10 1
move 4 9 1
move 5 1 1
move 5 9 1
move 1 2 1
move 4 5 1
move 4 5 1
move 2 1 1
move 3 4 1
move 5 10 1
move 1 2 1
move 6 2 1
move 8 10 1
move 2 8 1
move 2 1 1
move 7 1 1
move 3 7 1
move 1 2 2
move 3 2 1
move 5 3 1
move 2 8 1
move 2 1 2
move 9 3 2
move 8 1 1
move 8 2 2
move 1 2 1
move 3 9 2
move 3 5 1
move 2 1 1
move 3 8 1
move 3 5 2
move 1 2 1
move 3 8 1
move 5 8 2
move 2 1 1
move 5 3 1
move 8 3 2
move 8 5 1
move 1 2 1
move 3 5 2
move 3 8 1
move 2 1 1
move 9 8 2
move 5 9 2
move 1 2 1
move 5 3 1
move 8 3 2
move 2 1 1
move 8 5 1
move 3 5 2
move 1 2 1
move 3 8 1
move 5 8 2
move 5 3 1
move 2 1 1
move 8 3 2
move 8 5 1
move 1 2 1
move 9 8 3
move 3 5 2
move 2 1 1
move 8 3 2
move 9 4 1
move 1 2 1
move 3 9 4
move 3 2 1
move 2 1 2
move 3 2 1
move 1 2 1
move 9 2 4
move 9 1 1
move 2 1 4
move 1 8 2
move 4 7 1
move 5 2 4
move 9 5 1
move 3 9 1
