command_index,source_file_line,command_text,command_type,source_column,destination_column,cards_moved,dest_was_empty,source_face_up,source_face_down,stock_before,stock_after,foundations_before,foundations_after,automatic_removals_triggered,state_hash_before,state_hash_after,sw_before,sw_after,spaces_before,spaces_after,delta_explicit_commands,delta_tableau_moves,delta_stock_deals,delta_engine_actions,delta_legacy_mw,delta_mobilityware_moves,cum_explicit_commands,cum_tableau_moves,cum_stock_deals,cum_automatic_foundation_removals,cum_engine_actions,cum_legacy_mw,cum_mobilityware_moves,discrepancy_legacy_vs_mobilityware,explanation
1,28,move 3 6 1,tableau_move,3,6,1,False,1,5,50,50,0,0,0,6119869413371873836,16498979699865930285,10,11,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,tableau cost=1 (k=1 empty=False)
2,29,move 3 2 1,tableau_move,3,2,1,False,1,4,50,50,0,0,0,16498979699865930285,17153388499611769856,11,12,0,0,1,1,0,1,1,1,2,2,0,0,2,2,2,0,tableau cost=1 (k=1 empty=False)
3,30,move 8 3 1,tableau_move,8,3,1,False,1,4,50,50,0,0,0,17153388499611769856,14454722829870500012,12,13,0,0,1,1,0,1,1,1,3,3,0,0,3,3,3,0,tableau cost=1 (k=1 empty=False)
4,31,move 6 3 2,tableau_move,6,3,2,False,2,4,50,50,0,0,0,14454722829870500012,3329694840091383669,13,14,0,0,1,1,0,1,1,1,4,4,0,0,4,4,4,0,tableau cost=1 (k=2 empty=False)
5,32,move 6 3 1,tableau_move,6,3,1,False,1,3,50,50,0,0,0,3329694840091383669,8050901611315292022,14,15,0,0,1,1,0,1,1,1,5,5,0,0,5,5,5,0,tableau cost=1 (k=1 empty=False)
6,33,move 6 3 1,tableau_move,6,3,1,False,1,2,50,50,0,0,0,8050901611315292022,5840964246892509475,15,16,0,0,1,1,0,1,1,1,6,6,0,0,6,6,6,0,tableau cost=1 (k=1 empty=False)
7,34,move 6 5 1,tableau_move,6,5,1,False,1,1,50,50,0,0,0,5840964246892509475,2409986976377278922,16,16,0,0,1,1,0,1,1,1,7,7,0,0,7,7,7,0,tableau cost=1 (k=1 empty=False)
8,35,move 3 7 6,tableau_move,3,7,6,False,6,3,50,50,0,0,0,2409986976377278922,13007499188172854247,16,17,0,0,1,1,0,1,1,1,8,8,0,0,8,8,8,0,tableau cost=1 (k=6 empty=False)
9,36,move 9 3 1,tableau_move,9,3,1,False,1,4,50,50,0,0,0,13007499188172854247,10161551326544923697,17,18,0,0,1,1,0,1,1,1,9,9,0,0,9,9,9,0,tableau cost=1 (k=1 empty=False)
10,37,move 10 9 1,tableau_move,10,9,1,False,1,4,50,50,0,0,0,10161551326544923697,11228682561296487007,18,19,0,0,1,1,0,1,1,1,10,10,0,0,10,10,10,0,tableau cost=1 (k=1 empty=False)
11,38,move 10 5 1,tableau_move,10,5,1,False,1,3,50,50,0,0,0,11228682561296487007,9749544476795396760,19,20,0,0,1,1,0,1,1,1,11,11,0,0,11,11,11,0,tableau cost=1 (k=1 empty=False)
12,39,move 3 5 2,tableau_move,3,5,2,False,2,2,50,50,0,0,0,9749544476795396760,8106941101881514739,20,21,0,0,1,1,0,1,1,1,12,12,0,0,12,12,12,0,tableau cost=1 (k=2 empty=False)
13,40,move 9 5 2,tableau_move,9,5,2,False,2,3,50,50,0,0,0,8106941101881514739,14243269207052065721,21,22,0,0,1,1,0,1,1,1,13,13,0,0,13,13,13,0,tableau cost=1 (k=2 empty=False)
14,41,"move 9 2 1   # JD col 9 -> Qs col 2, reveals 6s",tableau_move,9,2,1,False,1,2,50,50,0,0,0,14243269207052065721,16548133429420846231,22,23,0,0,1,1,0,1,1,1,14,14,0,0,14,14,14,0,tableau cost=1 (k=1 empty=False)
